----system---- ----total-usage---- ------memory-usage----- -dsk/total- ---procs--- ---load-avg--- -most-expensive- --most-expensive--
     time     |usr sys idl wai stl| used  free  buf   cach| read  writ|run blk new| 1m   5m  15m |  cpu process   |  memory process  
17-10 04:28:52|                   |2039M   56G  396M 4494M|           | 22   0    |27.2 36.5 36.2|                |node           406
17-10 04:28:53| 70  30   0   0   0|3205M   55G  396M 4494M|   0    28k| 22   0   0|27.2 36.5 36.2|stress-ng-cp 6.2|stress-ng-vm   501
17-10 04:28:54| 70  30   0   0   0|6661M   51G  396M 4494M|   0   304k| 22   0 1.0|27.2 36.5 36.2|stress-ng-cp 6.3|stress-ng-vm   891
17-10 04:28:55| 73  27   0   0   0|8705M   49G  396M 4494M|   0     0 | 22   0   0|27.2 36.5 36.2|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:28:56| 86  14   0   0   0|9628M   49G  396M 4494M|   0     0 | 22   0   0|26.7 36.2 36.1|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:28:57| 89  10   0   0   0|9938M   48G  396M 4494M|   0   250k| 22   0  65|26.7 36.2 36.1|ppgen        6.1|stress-ng-vm  1026
17-10 04:28:58| 96   5   0   0   0|  10G   48G  396M 4494M|   0     0 | 24   0  17|26.7 36.2 36.1|ppgen         19|stress-ng-vm  1026
17-10 04:28:59| 97   3   0   0   0|  10G   48G  396M 4494M|   0   132k| 22   0   0|26.7 36.2 36.1|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:00| 95   5   0   0   0|  10G   48G  396M 4494M|   0  8224B| 22   0   0|26.7 36.2 36.1|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:29:01| 95   4   0   0   0|  10G   48G  396M 4494M|   0     0 | 22   0   0|26.3 36.0 36.0|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:02| 95   5   0   0   0|  10G   48G  396M 4494M|   0     0 | 24   0  42|26.3 36.0 36.0|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:03| 97   4   0   0   0|  10G   48G  396M 4494M|   0     0 | 22   0 3.0|26.3 36.0 36.0|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:29:04| 96   4   0   0   0|  10G   48G  396M 4494M|   0    64k| 23   0   0|26.3 36.0 36.0|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:05| 94   6   0   0   0|  10G   48G  396M 4494M|   0   112k| 22   0   0|26.3 36.0 36.0|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:29:06| 94   6   0   0   0|  10G   47G  396M 4494M|   0     0 | 22   0   0|25.9 35.7 35.9|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:07| 95   5   0   0   0|  11G   47G  396M 4494M|   0     0 | 24   0  25|25.9 35.7 35.9|stress-ng-cp 6.2|stress-ng-vm  1026
17-10 04:29:08| 96   3   0   0   0|  11G   47G  396M 4494M|   0     0 | 22   0  18|25.9 35.7 35.9|ppgen        6.3|stress-ng-vm  1026
17-10 04:29:09| 97   3   0   0   0|  11G   47G  396M 4494M|   0   120k| 22   0   0|25.9 35.7 35.9|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:29:10| 98   2   0   0   0|  11G   47G  396M 4494M|   0     0 | 22   0   0|25.9 35.7 35.9|stress-ng-cp 6.3|stress-ng-vm  1026
17-10 04:29:11| 96   4   0   0   0|  11G   47G  396M 4494M|   0  8201B| 26   0   0|26.7 35.7 35.9|ppgen         20|ppgen         1071
17-10 04:29:12| 97   3   0   0   0|  11G   47G  396M 4494M|   0     0 | 23   0 5.0|26.7 35.7 35.9|ppgen         15|ppgen         1128
17-10 04:29:13| 97   4   0   0   0|  11G   47G  396M 4494M|   0   152k| 37   0  40|26.7 35.7 35.9|ppgen         25|ppgen         1163
17-10 04:29:14|100   0   0   0   0|  11G   47G  396M 4494M|   0     0 | 37   0   0|26.7 35.7 35.9|ppgen         28|ppgen         1163
17-10 04:29:15| 99   1   0   0   0|  11G   47G  396M 4494M|   0   112k| 38   0 9.0|26.7 35.7 35.9|ppgen         28|ppgen         1191
17-10 04:29:16| 88  11   0   0   0|  11G   46G  396M 4530M|   0     0 | 40   0 132|27.7 35.8 36.0|ppgen         15|ppgen         1227
17-10 04:29:17| 84  16   0   0   0|  13G   45G  396M 4530M|   0    16k| 53   0   0|27.7 35.8 36.0|ppgen        6.4|ppgen         1226
17-10 04:29:18| 80  19   0   0   0|  14G   44G  396M 4531M|   0  4081B| 38   0  50|27.7 35.8 36.0|ppgen        6.7|ppgen         1259
17-10 04:29:19| 86  14   0   0   0|  15G   43G  396M 4531M|   0   172k| 38   0   0|27.7 35.8 36.0|stress-ng-cp 6.3|ppgen         1433
17-10 04:29:20| 88  11   0   0   0|  16G   42G  396M 4531M|   0     0 | 37   0   0|27.7 35.8 36.0|stress-ng-cp 6.3|ppgen         1562
17-10 04:29:21| 92   8   0   0   0|  17G   41G  396M 4531M|   0   269k| 53   0  16|28.4 35.8 36.0|ppgen         10|ppgen         1697
17-10 04:29:22| 88  11   0   0   0|  17G   40G  396M 4531M|   0     0 | 37   0   0|28.4 35.8 36.0|ppgen         13|ppgen         1705
17-10 04:29:23| 88  12   0   0   0|  18G   40G  396M 4531M|   0   990k| 52   0  38|28.4 35.8 36.0|ppgen         17|ppgen         1709
17-10 04:29:24| 90  10   0   0   0|  19G   39G  396M 4531M|   0   316k| 52   0   0|28.4 35.8 36.0|ppgen         16|ppgen         1816
17-10 04:29:25| 88  12   0   0   0|  19G   39G  396M 4531M|   0     0 | 53   0   0|28.4 35.8 36.0|ppgen         17|ppgen         2052
17-10 04:29:26| 88  12   0   0   0|  20G   38G  396M 4531M|   0     0 | 53   0 1.0|30.4 36.1 36.1|ppgen         18|ppgen         2306
17-10 04:29:27| 89  11   0   0   0|  20G   38G  396M 4531M|   0  4088B| 53   0  17|30.4 36.1 36.1|ppgen         18|ppgen         2559
17-10 04:29:28| 87  14   0   0   0|  21G   37G  396M 4531M|   0   144k| 53   0  38|30.4 36.1 36.1|ppgen         18|ppgen         2757
17-10 04:29:29| 86  13   0   0   0|  21G   37G  396M 4531M|   0    64k| 53   0  45|30.4 36.1 36.1|ppgen         16|ppgen         2910
17-10 04:29:30| 87  13   0   0   0|  22G   36G  396M 4531M|   0     0 | 54   0   0|30.4 36.1 36.1|ppgen         19|ppgen         3276
