15:28:36: CPU=7.2%, RAM=2.1Gi/62Gi, Load=0.01
15:28:41: CPU=14.2%, RAM=2.6Gi/62Gi, Load=0.09
15:29:11: CPU=99.1%, RAM=14Gi/62Gi, Load=2.28
15:29:42: CPU=97.6%, RAM=16Gi/62Gi, Load=3.73
15:30:13: CPU=94.9%, RAM=17Gi/62Gi, Load=7.41
15:30:44: CPU=95.6%, RAM=17Gi/62Gi, Load=11.04
15:31:15: CPU=97.6%, RAM=17Gi/62Gi, Load=12.82
15:31:46: CPU=98.6%, RAM=17Gi/62Gi, Load=12.45
15:32:17: CPU=97.9%, RAM=18Gi/62Gi, Load=13.74
15:32:47: CPU=13.6%, RAM=19Gi/62Gi, Load=13.95
15:33:18: CPU=98.0%, RAM=20Gi/62Gi, Load=12.35
15:33:49: CPU=97.5%, RAM=21Gi/62Gi, Load=11.89
15:34:20: CPU=95.4%, RAM=26Gi/62Gi, Load=12.25
15:34:51: CPU=98.7%, RAM=26Gi/62Gi, Load=13.45
15:35:22: CPU=98.2%, RAM=26Gi/62Gi, Load=13.94
15:35:53: CPU=95.0%, RAM=28Gi/62Gi, Load=14.37
15:36:24: CPU=98.1%, RAM=29Gi/62Gi, Load=14.77
15:36:54: CPU=98.7%, RAM=29Gi/62Gi, Load=14.97
15:37:25: CPU=99.1%, RAM=22Gi/62Gi, Load=13.41
15:37:56: CPU=20.3%, RAM=23Gi/62Gi, Load=11.58
15:38:26: CPU=0.5%, RAM=9.2Gi/62Gi, Load=10.93
15:38:57: CPU=98.6%, RAM=12Gi/62Gi, Load=10.86
15:39:27: CPU=98.2%, RAM=12Gi/62Gi, Load=10.89
15:39:59: CPU=94.7%, RAM=12Gi/62Gi, Load=11.15
15:40:29: CPU=99.1%, RAM=14Gi/62Gi, Load=11.65
15:41:00: CPU=99.1%, RAM=12Gi/62Gi, Load=12.10
15:41:31: CPU=94.6%, RAM=13Gi/62Gi, Load=9.39
15:42:02: CPU=97.1%, RAM=14Gi/62Gi, Load=7.06
15:42:33: CPU=98.7%, RAM=13Gi/62Gi, Load=6.51
15:43:04: CPU=97.6%, RAM=15Gi/62Gi, Load=5.91
15:43:34: CPU=96.3%, RAM=15Gi/62Gi, Load=6.03
15:44:05: CPU=77.4%, RAM=16Gi/62Gi, Load=6.30
15:44:36: CPU=98.7%, RAM=18Gi/62Gi, Load=7.30
15:45:07: CPU=83.0%, RAM=17Gi/62Gi, Load=5.22
15:45:37: CPU=19.6%, RAM=18Gi/62Gi, Load=8.38
15:46:08: CPU=93.4%, RAM=21Gi/62Gi, Load=6.25
15:46:39: CPU=49.3%, RAM=19Gi/62Gi, Load=5.83
15:47:09: CPU=19.4%, RAM=17Gi/62Gi, Load=4.84
15:47:39: CPU=98.6%, RAM=18Gi/62Gi, Load=4.42
15:48:11: CPU=91.5%, RAM=21Gi/62Gi, Load=5.04
15:48:42: CPU=99.1%, RAM=15Gi/62Gi, Load=5.87
15:49:13: CPU=54.2%, RAM=17Gi/62Gi, Load=4.81
15:49:44: CPU=96.1%, RAM=18Gi/62Gi, Load=5.07
15:50:14: CPU=21.2%, RAM=19Gi/62Gi, Load=5.98
15:50:45: CPU=7.4%, RAM=16Gi/62Gi, Load=5.94
15:51:15: CPU=95.2%, RAM=16Gi/62Gi, Load=7.56
15:51:47: CPU=33.3%, RAM=12Gi/62Gi, Load=7.51
15:52:18: CPU=99.1%, RAM=14Gi/62Gi, Load=7.03
15:52:48: CPU=99.1%, RAM=14Gi/62Gi, Load=6.16
15:53:19: CPU=98.6%, RAM=15Gi/62Gi, Load=6.62
15:53:50: CPU=74.1%, RAM=16Gi/62Gi, Load=5.89
15:54:21: CPU=99.1%, RAM=16Gi/62Gi, Load=4.30
